model,sampler,prop,MR,MRR,hits@1,hits@5,hits@10
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P30,5010.193181818182,0.028742410752751538,0.0,0.022727272727272728,0.045454545454545456
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P30,907.9090909090909,0.5279011428030512,0.4318181818181818,0.6477272727272727,0.7045454545454546
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P30,5225.829545454545,0.2192873937978901,0.1590909090909091,0.25,0.36363636363636365
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P30,146.52272727272728,0.5776002972491298,0.48863636363636365,0.6704545454545454,0.7159090909090909
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P30,742.9659090909091,0.37922770083138374,0.20454545454545456,0.6022727272727273,0.9772727272727273
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P30,614.4431818181819,0.2515581174133983,0.056818181818181816,0.5909090909090909,0.7159090909090909
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P30,1121.1818181818182,0.35740514392823963,0.11363636363636363,0.7613636363636364,0.9431818181818182
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P30,1021.2954545454545,0.3576788629571999,0.20454545454545456,0.5681818181818182,0.6818181818181818
MuRE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P30,28.386363636363637,0.42779753620411576,0.22727272727272727,0.6931818181818182,0.8068181818181818
MuRE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P30,3.977272727272727,0.4503675144300145,0.26136363636363635,0.6818181818181818,0.9886363636363636
MuRE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P30,60.625,0.4745032337986542,0.22727272727272727,0.7840909090909091,0.9545454545454546
MuRE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P30,5.386363636363637,0.3505524868349543,0.125,0.6136363636363636,0.9318181818181818
RotatE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P37,8882.741935483871,0.012098072171254854,0.0,0.016129032258064516,0.03225806451612903
RotatE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P37,6832.177419354839,0.1547399194000121,0.06451612903225806,0.24193548387096775,0.33064516129032256
RotatE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P37,10562.508064516129,0.08284010822016882,0.04032258064516129,0.11290322580645161,0.1532258064516129
RotatE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P37,9046.379032258064,0.15197976282594547,0.056451612903225805,0.29838709677419356,0.3548387096774194
TransE,EditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P37,7957.193548387097,0.04194925157913824,0.008064516129032258,0.03225806451612903,0.12903225806451613
TransE,InverseEditHistoryNegativeSampler,http://www.wikidata.org/prop/direct/P37,4013.3387096774195,0.0619049827844129,0.03225806451612903,0.0967741935483871,0.11290322580645161
TransE,EditHistoryNegativeSampler (no edit wars),http://www.wikidata.org/prop/direct/P37,7506.774193548387,0.0206133552003646,0.0,0.03225806451612903,0.04838709677419355
TransE,BasicNegativeSampler,http://www.wikidata.org/prop/direct/P37,3834.1774193548385,0.013547031640581035,0.0,0.016129032258064516,0.03225806451612903
